user_id,followers,following,posts,likes_received,comments_received,mentions,shares,account_age_days,region,engagement_rate,degree_centrality,betweenness_centrality,influence_score
U00093,420853,5730,3738,4680473,91670,7688,29838,3702,West,1221.05,0.356,0.388,44.4
U00094,193769,969,1912,2675045,122781,5313,10352,1238,West,1697.35,0.321,0.011,20.2
U00095,449048,3180,3055,1069421,23902,7308,30800,3006,Central,264.77,0.444,0.27,45.7
U00096,144199,2668,2696,3124421,8886,5843,18666,2974,South,2197.54,0.363,0.206,21.5
U00097,119816,4355,2900,2688835,196455,2601,13913,1617,East,3063.93,0.15,0.24,16.2
U00098,341263,5026,3516,2554795,53839,4840,7238,2531,Central,827.51,0.594,0.073,37.2
U00099,318399,7167,1901,2959941,48533,9350,19197,4737,South,1005.84,0.564,0.055,34.7
U00100,69919,4324,2522,4644960,69731,8427,3455,564,Central,7141.9,0.301,0.449,20.0
U00101,416376,1511,2955,4280050,14509,6436,12476,2294,South,1045.35,0.282,0.355,41.9
U00102,99994,5454,700,1314104,29389,3219,23187,1704,North,1461.12,0.548,0.245,22.9
U00103,402459,556,1057,1198819,4836,2020,31627,1032,North,303.88,0.8,0.1,46.2
U00104,3730,8492,447,4951175,106971,2855,22986,2409,East,147039.13,0.654,0.534,25.5
U00105,398431,7707,990,3224412,92646,3060,5101,580,East,925.54,0.69,0.301,47.7
U00106,393472,2260,2194,96746,54815,9616,36046,632,South,94.24,0.389,0.117,37.7
U00107,390193,2639,4688,2647973,183666,5330,21178,4183,Central,913.98,0.533,0.253,43.0
U00108,332442,286,4614,592669,61055,3908,31338,1614,Central,270.1,0.424,0.321,38.2
U00109,235809,3650,3814,149113,3392,8818,48924,1660,West,70.43,0.305,0.176,26.1
U00110,352597,391,2788,928381,19932,3689,2428,3313,West,291.56,0.489,0.332,41.1
U00111,138596,9364,1012,1273073,145035,7967,49438,3838,East,1441.77,0.276,0.152,18.3
U00112,390375,1350,1791,397878,106648,6414,47581,4331,West,238.52,0.301,0.259,38.5
U00113,277845,6597,3831,4177569,52084,3020,25898,3148,South,1597.28,0.361,0.216,31.0
U00114,229484,5709,4543,2191089,49484,9608,1356,1345,North,1062.6,0.382,0.095,25.6
U00115,252827,2376,4812,2759599,43812,6884,12373,1439,East,1178.14,0.444,0.176,30.1
U00116,284392,8083,1943,4326860,84375,9896,11299,3544,North,1669.78,0.037,0.153,23.7
U00117,18679,1097,2433,4185669,140757,16,29174,4257,North,26174.81,0.264,0.437,15.6
U00118,69941,8869,2545,4103796,127622,2808,34575,4596,East,6779.77,0.764,0.053,21.3
U00119,122778,7406,281,981478,149574,3326,24423,4229,South,1408.5,0.448,0.08,19.2
U00120,57309,6354,582,3723784,8249,6742,17792,3145,South,6569.58,0.562,0.216,19.6
U00121,219834,8797,226,4978551,111803,8395,2124,883,East,2518.96,0.533,0.046,27.0
U00122,334218,4037,3687,37047,152888,1214,46958,2097,Central,239.81,0.428,0.308,38.1
U00123,327231,2823,1121,4340505,40451,1512,49454,635,North,1388.24,0.273,0.148,31.3
U00124,235574,1553,3501,4328530,116556,6749,1639,2212,South,2084.82,0.34,0.148,26.3
U00125,427547,9244,1876,4206724,1261,3533,16358,3014,South,985.39,0.842,0.093,48.6
U00126,282639,4020,3971,1982495,181969,6987,49141,3382,South,1023.33,0.343,0.228,31.2
U00127,39644,8295,577,994680,147455,10,19963,1190,North,4368.66,0.794,0.295,24.6
U00128,382511,3330,1625,3658188,124601,5233,31134,3489,South,1119.23,0.367,0.173,37.6
U00129,287321,9550,1024,3115288,119922,231,25678,1680,North,1292.94,0.386,0.125,30.3
U00130,317377,8701,2180,3634593,133993,9513,31662,3487,Central,1356.29,0.465,0.016,31.9
U00131,282708,3087,2809,1279694,84509,1460,44018,4685,South,602.12,0.415,0.187,31.8
U00132,276812,4872,841,887605,193379,1779,18984,1468,South,669.95,0.262,0.264,29.9
U00133,45328,7941,3334,4507924,42716,1018,39955,902,West,10416.08,0.447,0.101,14.2
U00134,279625,2269,4822,2576974,162118,2204,22818,4837,East,1211.46,0.156,0.046,23.6
U00135,397466,246,216,4256538,152386,4897,10277,2368,South,1262.61,0.523,0.078,39.9
U00136,15200900,2895,430,4630904,167513,6175,3743,1180,South,3597.44,0.495,0.191,24.4
U00137,301438,5909,4761,2296381,14179,9000,35822,1495,North,785.33,0.596,0.225,37.5
U00138,15457,1373,3245,1315243,89024,8778,30129,2356,South,11388.04,0.351,0.293,14.1
U00139,173782,3340,4598,4479257,128540,846,43728,1759,South,2947.33,0.598,0.237,28.9
U00140,218386,9186,3526,3575139,123781,4277,11766,4528,East,1920.46,0.536,0.468,35.4
U00141,491370,760,3586,3329927,137679,8698,35713,1869,South,817.78,0.476,0.285,49.6
U00142,107331,512,788,4790255,126853,1654,1171,2377,Central,5053.96,0.845,0.173,27.9
U00143,138310,4244,2559,1231364,44651,6681,6959,1322,West,1051.7,0.544,0.084,22.3
U00144,204293,138,1826,1803155,165580,4267,29720,3538,East,1287.88,0.357,0.091,23.3
U00145,496333,287,4168,195072,96664,1688,26944,3824,Central,136.68,0.757,0.411,58.1
U00146,426708,1838,215,1938168,194138,617,29613,2834,South,681.7,0.552,0.262,46.2
U00147,17394,1031,90,2232612,104039,2897,41927,4064,West,15825.28,0.806,0.191,21.3
U00148,117008,8110,2783,2262812,107502,9,41682,1393,West,2393.25,0.079,0.182,13.4
U00149,410846,1235,4852,754506,118256,1941,9780,2711,West,327.56,0.39,0.206,40.7
U00150,29198,5239,4974,4045196,174218,5485,10130,3656,South,16837.17,0.39,0.29,15.8
U00151,427842,7055,2967,2446360,180237,7892,26926,4499,West,782.42,0.072,0.254,36.5
U00152,140727,6262,2149,2196423,116943,5053,47869,1656,North,1976.25,0.483,0.144,22.4
U00153,458830,6542,1364,4319659,109283,7251,33477,709,South,1060.54,0.376,0.178,43.2
U00154,146832,3583,4950,2431229,10899,740,7305,3921,Central,1692.89,0.05,0.285,17.0
U00155,217186,8889,916,4460777,13463,3044,31768,2547,West,2084.88,0.297,0.122,23.6
U00156,330975,696,631,1111587,147303,6587,16907,307,South,558.38,0.727,0.208,41.9
U00157,63184,1082,2541,4253210,68994,543,5330,4147,East,7277.33,0.632,0.138,19.9
U00158,278538,8563,1962,4941725,87343,5839,35611,2510,East,1930.95,0.308,0.102,27.7
U00159,252532,692,2479,3752308,125665,1687,13872,3115,East,1734.68,0.302,0.293,29.6
U00160,391959,1927,4509,4461770,44371,4194,38789,1814,South,1194.92,0.622,0.212,44.1
U00161,498053,1739,1349,3700861,66628,6298,27606,4925,West,809.95,0.057,0.084,37.7
U00162,332173,340,4383,3001271,8587,9864,22338,2170,North,916.45,0.569,0.196,38.6
U00163,204622,1178,1058,3818871,153588,903,10438,2990,West,2241.59,0.084,0.059,17.2
U00164,203223,5731,1617,4802800,101701,5504,14620,2693,East,2613.52,0.778,0.147,32.8
U00165,209008,6615,22,3025168,37981,5364,16685,4801,East,1538.25,0.582,0.66,39.5
U00166,407019,842,3393,3434988,119219,635,34663,3070,West,990.39,0.081,0.229,34.7
U00167,160641,9424,4292,395993,28601,6129,20753,520,Central,335.53,0.374,0.246,23.6
U00168,83528,966,4430,4795528,156137,755,1699,4289,East,6675.78,0.513,0.303,22.2
U00169,167179,6873,837,3888619,46206,6877,681,241,East,2464.2,0.053,0.153,15.8
U00170,11404,8005,3834,807679,54065,2076,13727,2642,East,9452.03,0.441,0.165,13.0
U00171,53115,5212,706,1448485,175217,1253,25521,1801,East,4376.4,0.546,0.279,20.3
U00172,45069,4921,3142,1127287,148602,716,16664,2423,South,4149.76,0.036,0.143,6.8
U00173,385787,1099,3511,1598058,136186,4597,49737,4211,East,590.74,0.599,0.029,39.6
U00174,361193,2422,762,4425912,120368,2360,11562,568,North,1391.98,0.425,0.08,35.4
U00175,348400,8507,552,2321159,104009,4633,20413,281,West,815.5,0.633,0.245,42.0
U00176,230965,3492,365,2099371,38403,8956,19886,4511,North,992.09,0.403,0.192,28.1
U00177,358543,354,3541,3894876,60067,8352,13714,1283,Central,1170.07,0.239,0.119,32.3
U00178,80677,7295,3073,1855788,192534,7504,44142,2227,South,3493.47,0.219,0.311,16.3
U00179,450315,6839,596,4429153,183718,4687,12649,4925,West,1187.55,0.388,0.23,43.9
U00180,250547,672,2501,3771676,145278,1122,535,3634,North,1795.29,0.412,0.177,29.3
U00181,469028,520,3979,1285048,177755,4067,25758,3215,South,463.47,0.663,0.207,50.2
U00182,76198,1173,1190,3151628,160833,218,31741,65,Central,5191.4,0.394,0.171,16.7
U00183,248690,518,3028,2413543,79880,1234,22800,1983,East,1131.1,0.138,0.345,27.1
U00184,348175,6166,1463,1720357,143101,3017,21062,2614,East,699.61,0.358,0.113,33.8
U00185,247838,1334,1305,4531535,150544,6944,43099,416,South,2132.13,0.145,0.335,27.0
U00186,223105,6073,1960,1989302,27671,7883,18698,3244,West,953.65,0.52,0.471,35.4
U00187,83148,1769,1761,583653,182712,6197,31962,3783,West,1800.64,0.566,0.263,22.4
U00188,190541,9724,2477,2041918,98607,2578,41874,1857,East,1330.39,0.6,0.433,34.0
U00189,119421,7261,1027,2583960,62670,7169,19932,4628,Central,2426.11,0.389,0.106,18.3
U00190,150790,3751,1951,631656,94820,9964,27032,4672,East,733.3,0.31,0.246,21.7
U00191,341866,4292,3111,3713535,65743,6562,19287,3715,Central,1182.4,0.348,0.116,33.2
U00192,315159,660,1936,1147769,66501,7616,30722,1591,East,469.69,0.432,0.181,34.3
U00193,303617,558,3282,462120,109161,8752,27359,608,East,331.97,0.348,0.048,29.2
U00194,180938,5379,578,2687651,199527,7155,42611,3494,East,2036.76,0.772,0.042,29.0
U00195,479848,237,688,804837,81673,8773,12668,2673,South,252.83,0.377,0.204,45.2
U00196,43870,6387,4327,3909135,42939,2961,8085,3595,West,9399.9,0.43,0.325,18.3
U00197,171328,3830,2309,342051,152295,3076,21142,2031,East,644.1,0.3,0.075,19.5
U00198,59047,1404,3045,2095241,58994,1744,30620,788,South,4047.91,0.304,0.08,11.9
U00199,169504,5361,3698,258685,107386,1824,14252,4523,South,469.38,0.195,0.111,18.0
U00200,480950,5533,730,1916763,50698,5528,49908,4817,South,451.24,0.244,0.033,39.2
U00201,183163,7465,4861,4666431,42371,9264,25773,3818,Central,2663.34,0.824,0.085,31.0
U00202,454294,1985,2119,3252580,50399,2216,40588,146,South,771.43,0.559,0.135,45.7
U00203,247558,5478,4448,2675751,71277,7130,27330,4015,South,1224.81,0.382,0.085,26.7
U00204,349868,8448,2083,786269,191111,777,19643,4979,West,497.85,0.319,0.132,33.5
U00205,228735,2707,2027,1564241,134247,9709,42340,2086,Central,4696.451453900709,0.697,0.055,31.1
U00206,132971,8353,3003,1903751,139138,5258,7878,2527,East,1954.88,0.283,0.314,21.3
U00207,382126,7236,954,2893101,10686,4969,12558,153,East,771.09,0.109,0.035,29.6
U00208,484589,4301,3044,1040681,2176,3598,38254,3019,West,217.0,0.545,0.373,52.3
U00209,131799,8833,4916,4999733,68433,9622,45236,3804,West,4053.03,0.265,0.123,17.0
U00210,389386,9667,3226,3258231,177526,4195,14547,1032,North,1064.71,0.193,0.218,35.5
U00211,130606,2376,350,1559043,3219,1227,26763,3177,Central,1206.01,0.232,0.058,15.0
U00212,358459,9797,3489,561820,153225,5639,24310,1326,South,370.46,0.533,0.223,40.2
U00213,394513,34,167,2975000,164173,5903,36341,733,East,962.16,0.429,0.143,39.1
U00214,224708,1301,516,2239114,55578,7460,24968,141,North,1120.12,0.253,0.059,22.0
U00215,368472,441,1422,3369497,23437,4967,30583,3791,West,946.25,0.544,0.352,43.7
U00216,136157,3683,1524,2980910,30693,2799,33456,1083,North,2302.01,0.284,0.18,18.8
U00217,39672,9370,17,3201791,15440,26,41451,772,North,8265.04,0.123,0.071,6.7
U00218,48240,6007,86,4168377,168727,9865,6937,4810,Central,4696.451453900709,0.188,0.152,10.3
U00219,223539,6169,3946,2625884,157318,1928,33156,3706,North,1526.56,0.454,0.072,26.2
U00220,451306,857,2273,3622756,134551,3509,9036,1306,West,951.79,0.293,0.147,40.4
U00221,63832,5166,999,1795156,17901,1534,553,3576,East,2952.49,0.471,0.076,15.4
U00222,227915,3832,2147,4714315,190034,2354,35821,2512,South,2485.34,0.672,0.284,35.1
U00223,352030,4799,3464,2039849,136852,608,19513,67,South,773.83,0.324,0.3,37.1
U00224,101221,2619,3671,3399392,165599,3403,35834,1372,North,4176.35,0.983,0.262,32.0
U00225,360822,2023,1440,4992263,75972,9481,46918,3880,West,1488.85,0.505,0.2,39.4
U00226,153013,9520,835,1745948,39549,2237,6444,3603,Central,1270.27,0.415,0.107,21.2
U00227,404339,5588,4796,507943,164339,9653,22572,2056,South,328.84,0.183,0.296,37.9
U00228,289630,4121,3157,1158619,10279,6339,4942,4932,Central,417.78,0.38,0.405,36.0
U00229,273476,747,4914,1218949,36570,8917,41419,2547,North,512.58,0.4,0.246,32.1
U00230,88427,7629,1533,282912,30732,6204,49975,93,Central,493.7,0.602,0.202,22.3
U00231,231629,4731,556,2719449,16883,9888,43447,4824,West,1210.49,0.331,0.227,27.4
U00232,428314,3873,1909,1387938,110232,5516,49683,142,North,452.73,0.536,0.305,46.8
U00233,9811,6672,1639,485299,45681,8306,16628,4601,Central,7273.79,0.458,0.178,13.5
U00234,379271,1326,3596,684243,193222,370,13905,403,North,435.14,0.645,0.008,39.6
U00235,246406,5336,3580,1366962,186427,9321,42886,1931,Central,933.05,0.661,0.361,37.7
U00236,359745,8632,357,1846123,33687,182,32586,299,West,559.99,0.517,0.207,39.7
U00237,331665,4645,2938,4872372,165824,1976,18871,3556,South,1719.05,0.603,0.169,38.7
U00238,216074,14,1713,3512890,7817,7384,10518,1554,Central,1643.86,0.675,0.256,33.8
U00239,154368,2306,3074,3573669,57157,2568,1268,2580,South,2500.15,0.557,0.13,24.6
U00240,313673,568,1956,3460170,131974,419,1906,973,North,1313.48,0.506,0.105,34.2
U00241,70155,5006,2687,4016126,41222,8620,34720,4116,South,6018.35,0.532,0.266,20.9
U00242,292069,3650,3578,1590832,15600,5126,13193,2328,Central,571.38,0.772,0.213,40.2
U00243,47392,1332,1466,496846,31368,4794,41014,1618,Central,1379.29,0.473,0.156,15.9
U00244,324940,6872,996,2542761,131725,3161,42309,142,Central,985.22,0.596,0.147,37.6
U00245,314391,1774,3529,6543,44240,7169,22580,2370,East,72.44,0.315,0.067,29.6
U00246,42267,3423,4737,1083857,49189,3144,14992,3635,North,3146.12,0.75,0.175,21.5
U00247,378756,9877,2220,3765028,41008,5619,8670,588,Central,1048.18,0.54,0.228,41.9
U00248,207932,672,4988,2514883,176370,1303,12830,2558,East,1633.57,0.381,0.154,25.3
U00249,393453,2484,924,3453301,177637,3056,30764,4635,Central,1103.43,0.436,0.055,37.4
U00250,20855,3185,4094,2550409,160989,280,37799,4339,North,16088.2,0.406,0.298,15.7
U00251,89769,5092,4941,2713582,3997,2848,36912,4506,South,3045.08,0.451,0.069,16.7
U00252,247020,2457,1498,1506484,50107,3809,47934,4486,South,711.28,0.492,0.362,34.4
U00253,94153,9700,739,1092623,176024,7481,32740,1402,East,2095.23,0.411,0.299,20.8
U00254,164964,64,3319,1297338,110797,8222,25399,823,Central,1122.25,0.132,0.359,21.4
U00255,330316,9481,4346,3990270,8284,5320,17789,2927,East,1220.55,0.805,0.179,42.8
U00256,72304,5352,415,4897872,49817,9256,16817,3591,West,7118.4,0.503,0.431,23.8
U00257,338867,392,3203,409200,165366,3593,18416,1910,East,364.75,0.504,0.504,43.9
U00258,51746,1175,4356,2685617,175798,4941,43982,1186,Central,6888.53,0.44,0.229,17.1
U00259,87633,1039,160,2352068,85149,6170,27454,804,Central,3169.79,0.632,0.126,21.3
U00260,293842,2882,2579,2810383,30318,1769,11049,2561,Central,1008.01,0.46,0.328,36.3
U00261,396751,3337,384,1164472,15441,4199,9669,253,North,312.96,0.388,0.21,39.7
U00262,85337,6415,882,38970,45066,8999,1419,3431,Central,309.71,0.401,0.032,14.6
U00263,150031,3118,2431,1016680,159801,4750,42308,4119,West,1210.2,0.7,0.261,29.7
U00264,462563,7253,1637,909203,165316,9311,10983,4150,South,375.25,0.49,0.203,46.2
U00265,494842,2945,425,261793,51287,6779,5115,1467,South,104.73,0.443,0.495,53.4
U00266,290551,2641,4003,1783109,195465,1699,14478,524,Central,4696.451453900709,0.363,0.249,32.6
U00267,223546,2760,1014,3419541,175605,4579,24327,2591,West,1922.44,0.386,0.136,26.1
U00268,173467,3298,4351,4829903,197502,3662,47977,3709,South,3353.59,0.666,0.247,30.4
U00269,306245,8379,883,3286171,150451,9499,42971,4516,South,1318.69,0.267,0.024,27.3
U00270,295478,2476,2598,876208,114598,3359,8548,629,East,490.46,0.584,0.109,34.5
U00271,147411,2739,3635,1810886,196354,4851,26470,128,East,1894.46,0.591,0.411,30.4
U00272,11450,9569,2401,1516448,137741,6903,41210,732,Central,19257.3,0.493,0.165,14.2
U00273,75791,6540,2085,1060807,166374,9618,38047,2750,West,2497.2,0.412,0.117,15.9
U00274,479281,1913,3753,4950784,80571,5462,23485,855,Central,1117.01,0.154,0.691,50.5
U00275,209106,8683,58,3278176,48192,8476,11978,4778,East,1682.94,0.583,0.177,29.9
U00276,241177,1839,4130,2405543,114692,1170,39260,1749,Central,1235.19,0.131,0.159,22.7
U00277,233580,1629,3449,2183670,81843,8909,22275,4052,Central,4696.451453900709,0.483,0.08,27.6
U00278,391378,4455,3824,1592038,70214,2074,11853,1646,Central,496.48,0.46,0.139,39.4
U00279,32525,6915,2104,2083784,139326,7632,35653,1119,West,8548.28,0.604,0.413,22.7
U00280,41410,1901,1922,3171794,122139,5340,44129,454,South,9134.02,0.271,0.073,9.9
U00281,137959,7535,2859,4641069,63212,6045,44416,1028,North,3593.16,0.261,0.365,22.2
U00282,243354,1575,3209,2481511,48318,926,46870,3761,East,1118.98,0.557,0.274,33.7
U00283,335578,7819,4625,924844,109300,5326,32152,3819,South,438.45,0.416,0.199,35.8
U00284,245378,967,4286,4787245,65433,864,38394,3348,North,2084.29,0.047,0.126,20.7
U00285,220611,4649,269,1574925,47529,5516,12138,426,South,821.61,0.449,0.105,26.5
U00286,468916,6405,758,415975,44420,4064,16196,1623,Central,136.07,0.812,0.647,62.0
U00287,80551,2663,4733,2720814,132590,2014,7314,3008,South,4200.72,0.56,0.075,18.4
U00288,285885,6124,1940,3952739,83063,4911,4056,4686,North,1527.9,0.213,0.149,27.3
U00289,271145,6889,2901,1287998,68426,2143,42076,1193,South,601.2,0.544,0.363,37.1
U00290,236771,6505,283,1395431,23037,827,22860,957,North,638.0,0.647,0.258,34.7
U00291,403808,3974,523,1446223,11035,341,27701,4201,North,371.81,0.105,0.332,37.0
U00292,133524,7735,2044,4033346,138982,3413,4366,2356,East,3541.1,0.393,0.183,20.9
U00293,476888,7319,3586,4786964,193554,7455,9193,1915,Central,1206.72,0.71,0.118,50.0
U00294,165817,3270,3861,4238601,64951,5764,3811,1939,South,2752.03,0.145,0.202,18.6
